gene,arm,median_loss,median_neutral,condition,norm_exp
CAB39,2q,-0.358524989249885,-0.0819322515275638,non_sig,-0.27659273772232124
DNAJC15,13q,0.0667007975066352,0.1120055442872845,non_sig,-0.0453047467806493
DNAJC19,3q,-0.301022113257881,-0.082430783269225,non_sig,-0.218591329988656
LPAR1,9q,0.128971238822844,-0.24743778235037,non_sig,0.376409021173214
WASF3,13q,-0.0345684715504824,-0.11260845845220616,non_sig,0.07803998690172376
WASF2,1p,0.0773750683662194,0.04504481399894755,non_sig,0.03233025436727184
WASF1,6q,-0.270298786718377,0.06459072377484634,non_sig,-0.33488951049322335
POSTN,13q,-0.5006578087420165,-0.6163624671079431,non_sig,0.11570465836592658
TGFBI,5q,-0.4747416984257605,-0.6202813548908015,non_sig,0.14553965646504097
FNDC3A,13q,-0.188370192169765,0.10742061212566001,non_sig,-0.29579080429542504
FNDC3B,3q,0.184451917821924,0.0175905338439295,non_sig,0.1668613839779945
LHFPL2,5q,-0.341128150389434,0.0560261336814594,non_sig,-0.3971542840708934
ST14,11q,-0.9930204484385534,-0.41387453665289153,non_sig,-0.5791459117856619
PRSS21,16p,-0.486755685048274,-0.5349481575876041,non_sig,0.04819247253933007
HPN,19q,-0.248499860974689,-0.10171238860881,non_sig,-0.14678747236587902
TMPRSS11E,4q,-0.204522806329956,-0.45142093236758196,non_sig,0.24689812603762595
PRSS22,16p,-0.24674098751888152,-0.31271087507302,non_sig,0.06596988755413846
TMPRSS2,21q,-0.6648395797997745,-0.336751459477005,non_sig,-0.32808812032276946
CXADR,21q,-0.0870156480748072,-0.0222066476704543,non_sig,-0.0648090004043529
GPA33,1q,-0.73223223317753,-0.3618120936902405,non_sig,-0.37042013948728947
VSIG2,11q,-0.43104134999569,-0.6332044382572231,non_sig,0.20216308826153306
IGSF11,3q,-0.6601932292511855,0.04576017436715081,non_sig,-0.7059534036183364
ESAM,11q,-0.6796855395913786,-0.4883129542502035,non_sig,-0.19137258534117507
F11R,1q,-0.351417340280271,0.102114772639516,non_sig,-0.453532112919787
CLMP,11q,-0.185914384718468,-0.401646130387814,non_sig,0.215731745669346
JAM2,21q,-0.0416549773941675,-0.46996070079061303,non_sig,0.4283057233964455
JAM3,11q,-0.31652657615866153,-0.524339286727032,non_sig,0.20781271056837047
FREM2,13q,-0.184472686691866,-0.38929747908485,non_sig,0.204824792392984
FRAS1,4q,-0.28661702895812,-0.2765820835135795,non_sig,-0.010034945444540533
FREM1,9p,-0.07876381843927585,-0.08051160110760686,non_sig,0.001747782668331005
SCAF4,21q,-0.223551017815935,-0.0606261044768742,non_sig,-0.1629249133390608
SCAF8,6q,-0.196364023578036,0.07775609178034885,non_sig,-0.2741201153583849
TBC1D4,13q,-0.39404750654979,-0.1843321045698875,non_sig,-0.2097154019799025
TBC1D1,4p,-0.307212084994813,-0.0453859830165203,non_sig,-0.2618261019782927
IMPA2,18p,-0.390837604519249,-0.2048355652538815,non_sig,-0.18600203926536749
BPNT1,1q,-0.45049832387242295,-0.12604672891092583,non_sig,-0.3244515949614971
IMPA1,8q,-0.492205306689357,-0.09568315998576465,non_sig,-0.39652214670359237
INPP1,2q,-0.522819123284405,-0.0195006706291652,non_sig,-0.5033184526552399
SPRY2,13q,-0.299815253750296,-0.144821649737524,non_sig,-0.15499360401277198
SPRY4,5q,-0.468913030005556,-0.39528594539068,non_sig,-0.07362708461487599
SPRY1,4q,-0.30906639752071996,-0.221708039094345,non_sig,-0.08735835842637496
KLF16,19p,-0.142914324090677,0.0251764419041835,non_sig,-0.1680907659948605
KLF4,9q,-0.212634237317405,0.1422407206635145,non_sig,-0.3548749579809195
KLF1,19p,-0.7912145108764355,-0.568864823614249,non_sig,-0.2223496872621865
KLF12,13q,-0.21300945933794702,0.08878370183227816,non_sig,-0.30179316117022514
KLF6,10p,0.35220592174412,-0.167081775223357,non_sig,0.519287696967477
KLF13,15q,-0.219098086171026,0.00404715063466975,non_sig,-0.22314523680569576
NCAM2,21q,-0.6894777436820315,-0.514952895201428,non_sig,-0.17452484848060357
NCAM1,11q,-0.55538609578157,-0.772424205329404,non_sig,0.21703810954783398
PRKAA1,5p,-0.2895260105313015,-0.0827756816731135,non_sig,-0.206750328858188
BRSK1,19q,0.376978598744423,-0.14228906573741001,non_sig,0.519267664481833
MELK,9p,-0.0783124235648101,-0.05244112979344595,non_sig,-0.025871293771364143
PRKAA2,1p,-0.634418398927926,0.132770020604012,non_sig,-0.767188419531938
SIK1,21q,0.0665795387740896,0.0328335792631816,non_sig,0.033745959510908
BRSK2,11p,-0.297045622518191,-0.03285400221041815,non_sig,-0.2641916203077729
RFC3,13q,-0.0711527698998054,-0.0973339684980487,non_sig,0.026181198598243305
RFC4,3q,-0.218297031602719,-0.059789518866454755,non_sig,-0.15850751273626423
RFC5,12q,-0.04532408763935605,-0.08193208693119336,non_sig,0.036607999291837306
RFC2,7q,-0.0030527642771365,-0.01385445648609415,non_sig,0.010801692208957651
POU4F1,13q,-0.16615745368464513,-0.0694718646818508,non_sig,-0.09668558900279432
POU1F1,3p,3.1301067548973,-0.30093054469515,non_sig,3.43103729959245
POU3F2,6q,-0.740172061839924,-0.510318704035124,non_sig,-0.22985335780479998
POU2F2,19q,-0.7084810015061336,-0.740769240156717,non_sig,0.03228823865058339
POU3F3,2q,-0.590081636664857,-0.466448923260919,non_sig,-0.123632713403938
POU3F1,1p,1.44125271709283,-0.549309615770776,non_sig,1.990562332863606
MORC3,21q,-0.323594965606047,0.0204094617016642,non_sig,-0.3440044273077112
SPATA13,13q,-0.201679342495821,0.021974007075306952,non_sig,-0.22365334957112795
PAXBP1,21q,-0.193565851787171,-0.0350138916052151,non_sig,-0.15855196018195591
GCFC2,2p,-0.0208142916425594,-0.09931252106936869,non_sig,0.07849822942680929
OLFM4,13q,-0.37040000478612,-0.364380809287018,non_sig,-0.006019195499102015
OLFM3,1p,-0.472131047791561,-0.3177979144752155,non_sig,-0.15433313331634552
OLFM2,19p,0.0210650574147573,-0.0973037263360218,non_sig,0.1183687837507791
OLFM1,9q,0.148891318403973,-0.18846321820773798,non_sig,0.337354536611711
IPO5,13q,-0.260810523976295,-0.00396357181787835,non_sig,-0.25684695215841663
RANBP6,9p,-0.0921878159568497,-0.0302926505249404,non_sig,-0.0618951654319093
IPO4,14q,-0.238274352692628,-0.0593850372093204,non_sig,-0.1788893154833076
CELF4,18q,-0.8491757132041979,-0.367192873803817,non_sig,-0.48198283940038095
CELF2,10p,-0.08905494892700802,-0.148956668493514,non_sig,0.05990171956650597
CELF5,19p,0.203290933053073,-0.414935372615389,non_sig,0.618226305668462
CELF3,1q,0.0653395392580581,-0.29424513640026,non_sig,0.3595846756583181
CELF1,11p,0.06787591374517304,-0.0214666508735201,non_sig,0.08934256461869314
ITSN1,21q,-0.07196226130250655,0.0760209571421416,non_sig,-0.14798321844464815
ITSN2,2p,-0.179905295086497,0.021562297420674198,non_sig,-0.2014675925071712
DIAPH3,13q,-0.261030905092533,-0.0699795830627179,non_sig,-0.19105132202981512
FMNL2,2q,-0.0323651655971867,-0.0387240480123395,non_sig,0.006358882415152804
DAAM2,6p,-0.105401226686791,-0.1372360435819325,non_sig,0.031834816895141504
FMNL3,12q,0.07575979155112289,-0.07187291576896265,non_sig,0.14763270732008554
FMNL1,17q,-0.69864012088292,-0.3689772149947935,non_sig,-0.3296629058881265
DAAM1,14q,-0.100289440322093,-0.0802030285680597,non_sig,-0.020086411754033293
